company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
The General Electric Co Of Bangladesh Ltd.,United Kingdom,motors and generators,37.7,1200.0,1962.0,False,False,True,False
Mamiya-Op (Bangladesh),Japan,sporting and athletic goods,8.4,928.0,1991.0,False,False,False,False
Organon Bangladesh Ltd.,Netherlands,pharmaceutical preparations,9.1,1000.0,1965.0,False,False,False,False
Ananda Computers,United States,office equipment,8.7,40.0,1987.0,False,False,False,False
Citech Co Ltd.,United States,office equipment,4.6,50.0,1985.0,False,False,False,False
Bengal Fisheries Ltd.,Japan,fishing,3.3,157.0,1980.0,False,True,False,False
"OP-SEED Co., (BD)  Ltd.",Japan,optoelectronics,2.9,368.0,1998.0,False,False,False,False
"CBC Optronics (BD) Co., Ltd.",Japan,lens,2.8,184.0,1994.0,False,False,False,False
Toka Ink (Bangladesh) Ltd.,Japan,printing ink,2.3,30.0,1993.0,False,False,False,False
Highspeed Shipbuilding and Heavy Engineering Co. Ltd.,Japan,construction and engineering,,82.0,1982.0,False,False,False,False
Bangladesh Oxygen Ltd.,United Kingdom,industrial gases,,5000.0,1964.0,False,False,True,False
Glaxo Wellcome Bangladesh Ltd.,United Kingdom,pharmaceutical preparations,,2700.0,1962.0,False,False,True,False
Renata Limited,United States,pharmaceutical preparations,,600.0,1979.0,False,False,False,False
Vanik Bangladesh Limited,Sri Lanka,other depository bank functions,,150.0,1997.0,True,False,False,False
Nestlé Bangladesh Ltd.,Switzerland,groceries,,50.0,1992.0,False,False,False,False
Tm International (Bangladesh) Ltd.,Malaysia,electronic parts and equipment,,15.0,1996.0,True,False,False,False
Bangladesh Tobacco Ltd.,United Kingdom,cigarettes,,,,False,False,True,False
Basf Bangladesh Ltd.,Germany,,,,,False,False,False,False
Bayer (Bangladesh) Ltd.,Germany,,,,,False,False,False,False
Boc Bangladesh Limited,United Kingdom,inudstrial gases,,,,False,False,True,False
Deutz Bangladesh Ltd.,Germany,,,,,False,False,False,False
Gec Fans Bangladesh Ltd.,United Kingdom,,,,,False,False,True,False
Gestetner Bangladesh Ltd.,United Kingdom,office equipment,,,,False,False,True,False
Hyundai Cements (Bangladesh) Co Ltd.,South Korea,cement hydraulic,,,,True,False,False,False
Nippon Express Bangladesh Ltd.,Japan,,,,,False,False,False,False
